Name,Version,Channel
biopython,1.78,conda-forge
ete3,3.1.2,conda-forge
hdbscan,0.8.26,conda-forge
jedi,0.17.2,conda-forge
joblib,0.17.0,conda-forge
jupyter-resource-usage,0.5.1,conda-forge
jupyterlab,3.0.5,conda-forge
kneed,0.7.0,conda-forge
mafft,7.475,bioconda
matplotlib-base,3.3.4,conda-forge
nodejs,15.3.0,conda-forge
numpy,1.19.5,conda-forge
pandas,1.2.2,conda-forge
progressbar2,3.53.1,conda-forge
seaborn,0.11.1,conda-forge
scikit-learn,0.24.1,conda-forg
scipy,1.6.0,conda-forge
umap-learn,0.4.6,conda-forge
