serotype,,H1,H1,H1,H1,H1,H10,H10,H10,H10,H10,error
accession,,>MH341798,>CY203092,>JN716319,>KY971134,>CY137666,>MF046174,>MH501985,>KP284941,>CY241071,>CY190963,>MK237334
serotype,accession,,,,,,,,,,,
H1,>MH341798,0.0,0.048603351955307295,0.1636871508379888,0.16983240223463691,0.048603351955307295,0.4849162011173185,0.4776536312849162,0.4916201117318436,0.47877094972067036,0.4748603351955307,0.03184357541899441
H1,>CY203092,0.048603351955307295,0.0,0.16536312849162016,0.17039106145251393,0.039664804469273784,0.47877094972067036,0.4709497206703911,0.48994413407821225,0.4720670391061452,0.4709497206703911,0.05418994413407818
H1,>JN716319,0.1636871508379888,0.16536312849162016,0.0,0.03631284916201116,0.16983240223463691,0.45027932960893857,0.45530726256983245,0.46145251396648046,0.45530726256983245,0.45586592178770946,0.1726256983240223
H1,>KY971134,0.16983240223463691,0.17039106145251393,0.03631284916201116,0.0,0.17709497206703906,0.4547486033519553,0.46145251396648046,0.46480446927374297,0.46089385474860334,0.46089385474860334,0.17653631284916205
H1,>CY137666,0.048603351955307295,0.039664804469273784,0.16983240223463691,0.17709497206703906,0.0,0.4798882681564246,0.47039106145251397,0.488268156424581,0.47262569832402235,0.46983240223463685,0.057541899441340805
H10,>MF046174,0.4849162011173185,0.47877094972067036,0.45027932960893857,0.4547486033519553,0.4798882681564246,0.0,0.04189944134078216,0.1692737430167598,0.03575418994413404,0.04972067039106143,0.49329608938547487
H10,>MH501985,0.4776536312849162,0.4709497206703911,0.45530726256983245,0.46145251396648046,0.47039106145251397,0.04189944134078216,0.0,0.18212290502793294,0.03184357541899441,0.039664804469273784,0.48659217877094973
H10,>KP284941,0.4916201117318436,0.48994413407821225,0.46145251396648046,0.46480446927374297,0.488268156424581,0.1692737430167598,0.18212290502793294,0.0,0.18044692737430168,0.18491620111731844,0.5005586592178771
H10,>CY241071,0.47877094972067036,0.4720670391061452,0.45530726256983245,0.46089385474860334,0.47262569832402235,0.03575418994413404,0.03184357541899441,0.18044692737430168,0.0,0.04525139664804467,0.48938547486033523
H10,>CY190963,0.4748603351955307,0.4709497206703911,0.45586592178770946,0.46089385474860334,0.46983240223463685,0.04972067039106143,0.039664804469273784,0.18491620111731844,0.04525139664804467,0.0,0.4849162011173185
error,>MK237334,0.03184357541899441,0.05418994413407818,0.1726256983240223,0.17653631284916205,0.057541899441340805,0.49329608938547487,0.48659217877094973,0.5005586592178771,0.48938547486033523,0.4849162011173185,0.0
