,cluster,supercluster,subtype
0,191,0,H1
1,136,1,H1
2,135,1,H1
3,115,2,H1
4,114,2,H1
5,83,3,H1
6,69,4,H1
7,82,5,H1
8,81,5,H1
9,74,5,H1
10,73,5,H1
11,71,6,H1
12,45,7,H1
13,43,8,H1
14,29,9,H1
15,219,10,H1
16,226,10,H1
17,225,10,H1
18,222,10,H1
19,218,10,H1
20,217,10,H1
21,206,10,H1
22,205,10,H1
23,204,10,H1
24,194,11,H1
25,193,11,H1
26,221,12,H1
27,220,12,H1
28,216,12,H1
29,215,12,H1
30,214,12,H1
31,203,12,H1
32,199,12,H1
33,201,13,H1
34,198,14,H1
35,184,15,H1
36,179,16,H1
37,164,17,H1
38,149,18,H1
39,172,19,H1
40,178,19,H1
41,177,19,H1
42,139,20,H1
43,125,21,H1
44,169,22,H1
45,145,23,H1
46,144,23,H1
47,122,24,H1
48,101,25,H1
49,97,26,H1
50,91,27,H1
51,90,27,H1
52,88,28,H1
53,86,29,H1
54,62,30,H1
55,59,31,H1
56,52,32,H1
57,49,33,H1
58,48,34,H1
59,30,35,H1
60,41,35,H1
61,40,35,H1
62,37,35,H1
63,32,35,H1
64,25,36,H1
65,22,37,H1
66,21,37,H1
67,20,38,H1
68,131,39,H2
69,56,40,H2
70,152,41,H2
71,129,42,H2
72,58,43,H3
73,57,43,H3
74,53,43,H3
75,51,43,H3
76,244,44,H3
77,243,44,H3
78,261,45,H3
79,260,45,H3
80,253,45,H3
81,249,45,H3
82,247,45,H3
83,242,46,H3
84,246,46,H3
85,245,46,H3
86,241,46,H3
87,237,47,H3
88,236,48,H3
89,235,48,H3
90,231,49,H3
91,227,50,H3
92,230,50,H3
93,229,50,H3
94,223,50,H3
95,213,51,H3
96,212,52,H3
97,211,52,H3
98,209,52,H3
99,197,53,H3
100,192,54,H3
101,196,55,H3
102,208,55,H3
103,207,55,H3
104,200,55,H3
105,187,56,H3
106,181,57,H3
107,180,57,H3
108,175,57,H3
109,160,58,H3
110,166,59,H3
111,165,59,H3
112,141,60,H3
113,156,61,H3
114,155,61,H3
115,150,61,H3
116,143,61,H3
117,140,61,H3
118,128,62,H3
119,127,63,H3
120,126,63,H3
121,116,64,H3
122,108,65,H3
123,104,66,H3
124,99,67,H3
125,103,67,H3
126,102,67,H3
127,93,68,H3
128,89,69,H3
129,87,70,H3
130,72,71,H3
131,61,72,H3
132,60,72,H3
133,55,72,H3
134,50,73,H3
135,47,74,H3
136,39,75,H3
137,35,76,H3
138,34,76,H3
139,28,77,H3
140,24,78,H3
141,186,79,H3
142,185,79,H3
143,174,80,H3
144,173,80,H3
145,163,80,H3
146,162,81,H3
147,134,82,H3
148,123,83,H3
149,171,84,H3
150,170,84,H3
151,161,84,H3
152,153,84,H3
153,176,85,H3
154,183,85,H3
155,182,85,H3
156,138,86,H3
157,137,86,H3
158,132,87,H3
159,109,88,H3
160,118,88,H3
161,117,88,H3
162,113,88,H3
163,95,89,H3
164,92,90,H3
165,80,91,H3
166,79,92,H3
167,78,92,H3
168,68,93,H3
169,54,94,H3
170,46,95,H3
171,44,96,H3
172,38,97,H3
173,33,98,H3
174,27,99,H3
175,23,100,H3
176,19,101,H3
177,18,102,H3
178,17,103,H3
179,16,104,H3
180,15,105,H3
181,14,106,H3
182,13,107,H3
183,12,108,H3
184,10,109,H3
185,9,109,H3
186,6,110,H3
187,8,110,H3
188,7,110,H3
189,1,111,H3
190,5,112,H3
191,4,112,H3
192,3,112,H3
193,2,112,H3
194,0,112,H3
195,240,113,H4
196,151,114,H4
197,157,115,H4
198,121,116,H4
199,112,117,H4
200,111,117,H4
201,105,117,H4
202,36,118,H4
203,26,119,H4
204,224,120,H5
205,210,121,H5
206,190,122,H5
207,189,122,H5
208,188,123,H5
209,159,124,H5
210,158,125,H5
211,94,126,H5
212,77,127,H5
213,76,128,H5
214,142,129,H5
215,84,130,H5
216,65,131,H5
217,31,132,H5
218,195,133,H6
219,154,134,H6
220,133,135,H6
221,168,136,H6
222,42,137,H6
223,234,138,H7
224,233,139,H7
225,100,140,H7
226,107,141,H7
227,106,141,H7
228,98,142,H7
229,96,143,H7
230,67,144,H7
231,66,144,H7
232,146,145,H7
233,120,146,H8
234,119,146,H8
235,238,147,H9
236,239,148,H9
237,75,149,H9
238,148,150,H9
239,147,151,H9
240,167,152,H9
241,258,153,H10
242,257,154,H10
243,256,154,H10
244,251,155,H10
245,250,155,H10
246,85,156,H10
247,64,157,H10
248,63,157,H10
249,11,158,H10
250,252,159,H11
251,130,160,H11
252,124,161,H11
253,110,162,H11
254,248,163,H12
255,232,164,H12
256,228,165,H12
257,254,166,H13
258,70,167,H16
259,202,168,mixed
260,255,169,mixed
261,259,170,mixed
